City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
113,Hilo,US,19.7297,-155.09,76.73,80,100,5.75,overcast clouds
114,Sibolga,ID,1.7427,98.7792,81.32,70,86,0.67,overcast clouds
115,Kubrat,BG,43.8,26.5,43.23,53,1,6.33,clear sky
116,Wanning,CN,18.8003,110.3967,75.58,69,90,8.86,overcast clouds
117,Acajutla,SV,13.5928,-89.8275,81.5,73,69,2.28,broken clouds
118,Victoria,HK,22.2855,114.1577,76.96,70,25,4.0,scattered clouds
119,Vilhena,BR,-12.7406,-60.1458,69.01,94,3,1.5,clear sky
120,Nome,US,64.5011,-165.4064,5.27,72,3,6.17,clear sky
121,Henties Bay,NA,-22.116,14.2845,59.99,86,0,6.6,clear sky
122,Nikolskoye,RU,59.7035,30.7861,26.8,78,100,11.1,overcast clouds
123,Karwar,IN,14.8,74.1333,79.9,81,53,3.89,broken clouds
124,Shaumiani,GE,41.3527,44.7618,46.22,62,100,1.61,overcast clouds
125,Pinhao,BR,-25.6956,-51.6597,61.63,97,11,2.15,few clouds
126,Margate,GB,51.3813,1.3862,49.3,72,92,21.88,overcast clouds
127,Kirksville,US,40.1948,-92.5833,53.06,98,100,1.99,light rain
128,Opunake,NZ,-39.4556,173.8583,65.62,86,100,19.1,overcast clouds
129,Barrow,US,71.2906,-156.7887,-12.98,77,0,9.22,clear sky
130,Isangel,VU,-19.55,169.2667,81.07,84,100,10.0,moderate rain
131,Gunib,RU,42.3876,46.9651,43.32,76,100,4.23,overcast clouds
132,Paracuru,BR,-3.41,-39.0306,80.11,85,25,8.5,scattered clouds
133,Ati,TD,13.2154,18.3353,83.84,11,3,10.22,clear sky
134,Manitouwadge,CA,49.1215,-85.8403,33.62,95,100,6.93,overcast clouds
135,Xinxiang,CN,35.3089,113.8672,65.46,41,0,13.56,clear sky
136,Hithadhoo,MV,-0.6,73.0833,82.15,68,11,3.29,few clouds
137,Tasiilaq,GL,65.6145,-37.6368,17.76,89,41,6.91,scattered clouds
138,Opuwo,NA,-18.0607,13.84,62.94,51,0,1.01,clear sky
139,Ixtapa,MX,20.7,-105.2,72.63,73,75,4.61,broken clouds
140,Tabas,IR,33.5959,56.9244,75.11,14,100,0.87,overcast clouds
141,Atherton,GB,53.5237,-2.4935,50.76,91,72,1.99,broken clouds
142,Saint-Georges,GD,12.0564,-61.7485,78.64,74,24,16.73,few clouds
143,Kahului,US,20.8947,-156.47,77.97,84,95,11.01,overcast clouds
144,Usumatlan,GT,14.95,-89.7833,83.84,52,100,2.64,overcast clouds
145,Musafirkhana,IN,26.3667,81.8,84.2,7,23,1.92,few clouds
146,Flin Flon,CA,54.7682,-101.865,34.03,73,95,9.31,overcast clouds
147,Saint-Augustin,CA,51.226,-58.6502,31.44,82,100,13.73,overcast clouds
148,Kalemie,CD,-5.9475,29.1947,70.29,87,100,1.48,overcast clouds
149,Port Hedland,AU,-20.3167,118.5667,93.25,38,0,16.11,clear sky
150,Ponta Delgada,PT,37.7333,-25.6667,54.32,87,20,2.3,few clouds
151,Bilma,NE,18.6853,12.9164,83.86,7,0,6.06,clear sky
152,Hongjiang,CN,27.11,109.9956,69.57,67,98,2.33,overcast clouds
153,Klyuchi,RU,52.2667,79.1667,49.53,89,91,4.56,light rain
154,Atuona,PF,-9.8,-139.0333,79.34,74,1,22.26,clear sky
155,Carnarvon,AU,-24.8667,113.6333,84.2,51,2,13.18,clear sky
156,Longyearbyen,SJ,78.2186,15.6401,6.64,78,0,17.27,clear sky
157,San Juan De Uraba,CO,8.7592,-76.5297,80.04,86,95,4.85,overcast clouds
158,Fort Oglethorpe,US,34.949,-85.2569,62.78,85,75,8.05,broken clouds
159,Jamestown,US,42.097,-79.2353,53.24,52,20,3.44,few clouds
160,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,73.17,99,94,1.19,overcast clouds
161,Grand Gaube,MU,-20.0064,57.6608,79.2,91,100,5.01,overcast clouds
162,Cidreira,BR,-30.1811,-50.2056,67.06,76,52,6.02,broken clouds
163,Galesong,ID,-5.3166,119.3661,84.22,72,13,2.21,few clouds
164,Fez,MA,34.0372,-4.9998,50.25,93,40,10.36,scattered clouds
165,Brigantine,US,39.4101,-74.3646,52.03,97,100,10.04,moderate rain
166,Husavik,IS,66.0449,-17.3389,27.57,84,100,22.62,light snow
167,Bagalkot,IN,16.1833,75.7,81.61,55,53,3.31,broken clouds
168,Blackwater,AU,-23.5833,148.8833,86.61,39,0,7.38,clear sky
169,Cabo San Lucas,MX,22.8909,-109.9124,70.61,79,0,7.43,clear sky
170,Chuy,UY,-33.6971,-53.4616,56.26,74,0,6.67,clear sky
171,Shimoda,JP,34.6667,138.95,69.1,60,100,11.97,overcast clouds
172,Puerto Ayora,EC,-0.7393,-90.3518,77.83,87,23,6.4,light rain
173,Vila Franca Do Campo,PT,37.7167,-25.4333,54.01,80,42,3.83,scattered clouds
174,San Ignacio,BZ,17.1561,-89.0714,77.36,83,0,5.46,clear sky
175,Kenai,US,60.5544,-151.2583,42.03,72,100,8.77,overcast clouds
176,Sao Francisco Do Sul,BR,-26.2433,-48.6381,69.03,92,100,2.55,overcast clouds
177,Puerto Montt,CL,-41.4698,-72.9447,54.46,95,100,6.33,light rain
178,Nantucket,US,41.2835,-70.0995,46.51,81,40,8.05,scattered clouds
179,Ancud,CL,-41.8697,-73.8203,58.23,92,100,17.65,overcast clouds
180,Blackpool,GB,53.8167,-3.05,50.34,89,93,24.0,overcast clouds
181,Bom Jesus,BR,-9.0744,-44.3586,76.87,55,51,1.25,broken clouds
182,San Patricio,US,28.017,-97.5169,78.75,89,35,17.65,scattered clouds
183,Turochak,RU,52.2576,87.1224,44.08,83,70,2.84,broken clouds
184,Sampit,ID,-2.5333,112.95,85.46,65,96,3.29,overcast clouds
185,Winslow,US,35.0242,-110.6974,73.58,14,0,18.41,clear sky
186,Anzio,IT,41.4853,12.6179,51.73,90,8,4.54,clear sky
187,Leshukonskoye,RU,64.8989,45.7622,22.23,84,99,9.69,overcast clouds
188,Airai,TL,-8.9266,125.4092,74.12,54,42,2.46,scattered clouds
189,Minot,US,48.2325,-101.2963,35.82,93,100,9.22,mist
190,Anadyr,RU,64.75,177.4833,3.7,77,0,13.42,clear sky
191,Cotonou,BJ,6.3654,2.4183,81.73,85,100,9.06,overcast clouds
192,Lavrentiya,RU,65.5833,-171.0,2.17,77,3,4.5,clear sky
193,Hasaki,JP,35.7333,140.8333,68.29,74,100,12.41,overcast clouds
194,Fasano,IT,40.8344,17.3584,48.58,54,92,1.81,overcast clouds
195,Bilibino,RU,68.0546,166.4372,5.97,75,96,3.53,overcast clouds
196,Fortuna,US,40.5982,-124.1573,52.14,71,0,10.36,clear sky
197,Wawa,NG,9.9022,4.4192,84.74,56,88,9.31,overcast clouds
198,Zhanaozen,KZ,43.3,52.8,52.43,41,62,19.1,broken clouds
199,Saint-Pierre,RE,-21.3393,55.4781,76.68,85,75,3.44,broken clouds
200,Ribeira Grande,PT,38.5167,-28.7,60.58,88,65,14.72,broken clouds
201,Fort Nelson,CA,58.8053,-122.7002,34.45,100,99,1.74,overcast clouds
202,Sitka,US,57.0531,-135.33,44.49,57,40,11.5,scattered clouds
203,Touros,BR,-5.1989,-35.4608,78.21,84,2,9.53,clear sky
204,Porto Belo,BR,-27.1578,-48.5531,72.25,91,92,6.33,overcast clouds
205,Sambava,MG,-14.2667,50.1667,74.61,90,36,4.85,scattered clouds
206,Komsomolskiy,UZ,40.4272,71.7189,59.72,41,17,9.22,few clouds
207,Porgera,PG,-5.4667,143.2,57.85,67,90,1.1,overcast clouds
208,Inhambane,MZ,-23.865,35.3833,75.42,86,1,7.29,clear sky
209,Juegang,CN,32.3174,121.1855,63.3,59,0,4.68,clear sky
210,Hanumangarh,IN,29.5833,74.3167,80.47,9,0,1.61,clear sky
211,Duncan,US,34.5023,-97.9578,79.02,33,100,11.5,overcast clouds
212,Karratha,AU,-20.7377,116.8463,91.08,40,6,2.13,clear sky
213,Visby,SE,57.6409,18.296,33.82,55,0,10.36,clear sky
214,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.54,93,55,7.54,broken clouds
215,Bima,ID,-8.4667,118.7167,85.75,67,31,3.62,scattered clouds
216,Muros,ES,42.7762,-9.0603,43.84,74,0,9.22,clear sky
217,Adrar,MR,20.5022,-10.0711,71.29,32,2,11.59,clear sky
218,Buluang,PH,13.3068,123.3425,85.98,61,100,4.94,light rain
219,Rio Gallegos,AR,-51.6226,-69.2181,41.0,63,4,9.53,clear sky
220,Mahebourg,MU,-20.4081,57.7,79.09,89,40,6.91,light intensity shower rain
221,Saldanha,ZA,-33.0117,17.9442,60.22,79,51,5.61,light rain
222,Saskylakh,RU,71.9167,114.0833,-9.78,95,41,4.52,scattered clouds
223,Odweyne,SO,9.4092,45.064,66.88,38,0,7.02,clear sky
224,Nysa,PL,50.4738,17.3344,47.57,85,96,18.75,overcast clouds
225,Begunitsy,RU,59.5855,29.3176,21.9,88,97,10.07,overcast clouds
226,Pasni,PK,25.2631,63.471,79.41,54,3,8.57,clear sky
227,Zlobin,HR,45.2924,14.6541,36.7,87,0,4.61,clear sky
228,Arkhangelsk,RU,64.5401,40.5433,30.31,50,20,11.18,few clouds
229,Bambous Virieux,MU,-20.3428,57.7575,79.05,89,40,6.91,light intensity shower rain
230,Flinders,AU,-34.5833,150.8552,65.37,93,100,7.4,light rain
231,Minnedosa,CA,50.2453,-99.8436,32.38,98,100,11.72,light snow
232,Lorengau,PG,-2.0226,147.2712,80.83,83,100,11.61,overcast clouds
233,Nueva Loja,EC,0.0847,-76.8828,72.63,94,96,0.81,overcast clouds
234,Pangnirtung,CA,66.1451,-65.7125,2.95,86,100,4.14,overcast clouds
235,Ilulissat,GL,69.2167,-51.1,26.62,86,100,6.91,overcast clouds
236,Champerico,GT,14.3,-91.9167,83.01,68,10,5.17,clear sky
237,Padang,ID,-0.9492,100.3543,80.65,68,82,3.04,broken clouds
238,Dingle,PH,10.9995,122.6711,82.35,75,100,12.44,overcast clouds
239,Cap Malheureux,MU,-19.9842,57.6142,76.46,91,100,5.01,overcast clouds
240,Los Llanos De Aridane,ES,28.6585,-17.9182,58.75,72,20,14.97,few clouds
241,Klaksvik,FO,62.2266,-6.589,32.92,63,100,18.77,overcast clouds
242,Puerto Carreno,CO,6.189,-67.4859,77.2,86,100,5.44,overcast clouds
243,Srednekolymsk,RU,67.45,153.6833,0.57,84,85,5.95,overcast clouds
244,Panzhihua,CN,26.5851,101.7128,54.07,86,100,2.01,overcast clouds
245,Bardiyah,LY,31.7561,25.0865,67.21,58,100,15.77,overcast clouds
246,Avera,US,33.194,-82.5271,64.54,90,100,14.76,overcast clouds
247,Torbay,CA,47.6666,-52.7314,34.57,87,100,11.99,overcast clouds
248,Faya,SA,18.3851,42.4509,57.72,14,0,4.74,clear sky
249,Tuatapere,NZ,-46.1333,167.6833,50.38,77,100,19.91,overcast clouds
250,Moree,AU,-29.4667,149.85,75.09,62,65,10.69,broken clouds
251,Galveston,US,29.3669,-94.9669,76.03,93,100,9.22,overcast clouds
252,Sabha,LY,27.0377,14.4283,83.41,9,0,12.71,clear sky
253,Bermeo,ES,43.4209,-2.7215,41.49,78,13,6.02,few clouds
254,Yorkton,CA,51.2167,-102.4677,33.93,94,100,10.47,overcast clouds
255,Chico,US,39.7285,-121.8375,71.69,16,0,13.8,clear sky
256,Itoman,JP,26.1247,127.6694,71.98,51,75,13.8,broken clouds
257,Banjar,ID,-8.19,114.9675,86.11,64,58,1.48,broken clouds
258,Bukachacha,RU,52.9833,116.9167,25.03,30,65,5.46,broken clouds
259,Sao Filipe,CV,14.8961,-24.4956,71.1,72,6,7.96,clear sky
260,Venado Tuerto,AR,-33.7456,-61.9688,61.77,42,0,8.79,clear sky
261,Taoudenni,ML,22.6783,-3.9836,79.75,23,0,14.03,clear sky
262,Magdalena,PH,14.1999,121.429,85.35,74,100,10.2,overcast clouds
263,Susangerd,IR,31.5608,48.1831,71.71,22,52,7.43,broken clouds
264,Lasa,IT,46.6166,10.7002,36.36,78,37,1.72,scattered clouds
265,Banda Aceh,ID,5.5577,95.3222,80.19,78,99,8.32,overcast clouds
266,Camopi,GF,3.1655,-52.3158,72.3,99,100,1.28,overcast clouds
267,Namibe,AO,-15.1961,12.1522,69.84,81,16,4.83,few clouds
268,Hualmay,PE,-11.0964,-77.6139,68.85,86,43,8.08,scattered clouds
269,Tarut,SA,26.5733,50.0369,66.4,34,2,3.78,clear sky
270,Razole,IN,16.4833,81.8333,82.31,70,77,1.99,broken clouds
271,Meulaboh,ID,4.1363,96.1285,80.19,77,99,2.64,overcast clouds
272,Dillon,US,34.4166,-79.3712,67.89,86,100,17.34,overcast clouds
273,Luderitz,NA,-26.6481,15.1594,59.54,75,0,12.15,clear sky
274,Marstal,DK,54.8562,10.5173,37.31,94,100,8.7,overcast clouds
275,Mendeleyevo,RU,56.0333,37.2167,33.58,86,100,13.42,overcast clouds
276,Baturaja,ID,-4.1333,104.1667,81.86,76,83,0.98,broken clouds
277,Kabompo,ZM,-13.5927,24.2008,62.62,96,88,1.97,overcast clouds
278,Svetlogorsk,BY,52.6333,29.7333,31.32,97,100,6.98,overcast clouds
279,Palmer,US,42.1584,-72.3287,48.61,51,75,6.91,broken clouds
280,Koslan,RU,63.4564,48.8989,14.83,94,34,7.72,scattered clouds
281,Clyde River,CA,70.4692,-68.5914,-1.97,84,75,3.44,broken clouds
282,Luganville,VU,-15.5333,167.1667,86.14,71,100,14.27,overcast clouds
