City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
168,Blackwater,AU,86.61,clear sky,-23.5833,148.8833,Blackwater Motor Inn
172,Puerto Ayora,EC,77.83,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
174,San Ignacio,BZ,77.36,clear sky,17.1561,-89.0714,Rainforest Haven Inn
181,Bom Jesus,BR,76.87,broken clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
182,San Patricio,US,78.75,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
184,Sampit,ID,85.46,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
191,Cotonou,BJ,81.73,overcast clouds,6.3654,2.4183,Novotel Cotonou Orisha
199,Saint-Pierre,RE,76.68,broken clouds,-21.3393,55.4781,Lindsey Hôtel
203,Touros,BR,78.21,clear sky,-5.1989,-35.4608,INN NEW HORIZON
208,Inhambane,MZ,75.42,clear sky,-23.865,35.3833,Oceano
210,Hanumangarh,IN,80.47,clear sky,29.5833,74.3167,SPOT ON 66636 Cps Resorts
211,Duncan,US,79.02,overcast clouds,34.5023,-97.9578,Days Inn by Wyndham Duncan
214,Sao Joao Da Barra,BR,75.54,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
215,Bima,ID,85.75,scattered clouds,-8.4667,118.7167,Lambitu Hotel
218,Buluang,PH,85.98,light rain,13.3068,123.3425,Sacueza Beach Resort
220,Mahebourg,MU,79.09,light intensity shower rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
226,Pasni,PK,79.41,clear sky,25.2631,63.471,Kashmiri Hotal
229,Bambous Virieux,MU,79.05,light intensity shower rain,-20.3428,57.7575,Casa Tia Villa
232,Lorengau,PG,80.83,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
236,Champerico,GT,83.01,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
237,Padang,ID,80.65,broken clouds,-0.9492,100.3543,Mercure Padang
238,Dingle,PH,82.35,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
